"Incident: Incident Number","Subject","Incident Date/Time","City","Country","Description","NC4 Incident","Primary Type","Incident Status","Market","Philips Site or Building","Management Level"
"INC-0897","Taiwan - Geopolitical","2/1/2022 8:57 AM","","Taiwan","Chinese government sees Taiwan as a breakaway province that will, eventually, be part of the country again.

Many Taiwanese people disagree. They feel they in effect have a separate nation - whether or not independence is ever officially declared.","","Other","Closed","","","Regional"
"INC-0966","Meteorological: Tornado","3/21/2022 8:42 PM","Collin, Dallas, Denton, Tarrant","USA","The National Weather Service in Fort Worth has issued a
 
* Tornado Warning for...
Southeastern Denton County in north central Texas...
Northeastern Tarrant County in north central Texas...
Southwestern Collin County in north central Texas...
Northwestern Dallas County in north central Texas...
 
* Until 700 PM CDT.
 
* At 615 PM CDT, a severe thunderstorm capable of producing a
tornado was located over Euless or near DFW Airport, moving
northeast at 45 mph.
 
HAZARD...Tornado.
 
SOURCE...Radar indicated rotation.
 
IMPACT...Flying debris will be dangerous to those caught without
shelter. Mobile homes will be damaged or destroyed.
Damage to roofs, windows, and vehicles will occur. Tree
damage is likely.
 
 
Other locations impacted by this tornadic thunderstorm include
DFW Airport and Carrollton.
 
This includes Interstate 35E between mile markers 436 and 450.
 
TAKE COVER NOW! Move to an interior room on the lowest floor of a
sturdy building. Avoid windows. If you are outdoors, in a mobile
home, or in a vehicle, move to the closest substantial shelter and
protect yourself from flying debris.
 
Bulletin Issued: 7:15 PM EDT on March 21
Event Ends: 8:00 PM EDT on March 21","Meteorological: Tornado","Meteorological (Tornado, Hurricane, Floods)","Closed","","","Regional"
"INC-1157","Meteorological: Cyclone","9/26/2022 12:31 PM","Gainesville","Cuba, United States","Tropical Cyclone IAN-22 can have a medium humanitarian impact based on the maximum sustained wind speed, exposed population and vulnerability.","Meteorological: Cyclone","Meteorological (Tornado, Hurricane, Floods)","Closed","","","Country"
"INC-1205","Security - Gujarat incident - Julto Pul bridge in Morbi","10/31/2022 10:15 AM","Morbi - Gujarat","India","Continue to avoid the vicinity of Julto Pul bridge in Morbi (Gujarat state) over the coming hours amid ongoing rescue operations. The suspension bridge collapsed at around 18.30 (local time) on 30 October. Approximately 140 people have been killed. Security personnel and disaster response teams have rescued more than 170 people so far. Additionally, Morbi locals are observing a shutdown strike on 31 October to mourn the victims. Protests over the incident are possible in the coming days and may be held at the district collectorate, key roads and intersections in Morbi. These have the potential to be disruptive, and should be avoided.","Security - Gujarat incident - Julto Pul bridge in Morbi","Security (Personal, Physical, Information)","Closed","","","Group"
"INC-1062","Other: Evacuation","7/18/2022 11:57 PM","Kyoto","Japan","Media sources are reporting that approximately 26,183 residents from 13,693 homes were ordered to evacuate due to inclement weather. The expected duration of the evacuation has not been specified.","Other: Evacuation","Meteorological (Tornado, Hurricane, Floods)","Closed","","","Regional"
"INC-1266","Winter storm","1/24/2023 11:11 AM","","","A once-in-a-decade cold winter storm brings heavy snowfall and strong winds across Japan.","","Meteorological (Tornado, Hurricane, Floods)","Closed","","","Market"
"INC-0959","Meteorological: Tornado Warning","3/15/2022 9:15 PM","Orlando","USA","Florida:
Lake, Orange
 
The National Weather Service in Melbourne has issued a
 
* Tornado Warning for...
Southwestern Lake County in east central Florida...
West central Orange County in east central Florida...
 
* Until 830 PM EDT.
 
* At 755 PM EDT, a severe thunderstorm capable of producing a tornado
was located near Clermont, or near Groveland, moving northeast at
15 mph.
 
HAZARD...Tornado.
 
SOURCE...Radar indicated rotation.
 
IMPACT...Flying debris will be dangerous to those caught without
shelter. Mobile homes will be damaged or destroyed.
Damage to roofs, windows, and vehicles will occur. Tree
damage is likely.
 
* This dangerous storm will be near...
Clermont around 820 PM EDT.
Ferndale, Lake Apopka and Oakland around 830 PM EDT.
 
Other locations impacted by this tornadic thunderstorm include
Minneola.
 
TAKE COVER NOW! Move to an interior room on the lowest floor of a
sturdy building. Avoid windows. If you are outdoors, in a mobile
home, or in a vehicle, move to the closest substantial shelter and
protect yourself from flying debris.
 
Bulletin Issued: 7:55 PM EDT on March 15
Event Ends: 8:30 PM EDT on March 15","Meteorological: Tornado Warning","Meteorological (Tornado, Hurricane, Floods)","Closed","","","Site"
"INC-1019","Labor: Cargo Transportation Strike","6/6/2022 9:54 PM","Nationwide","South Korea","Media sources are reporting that cargo transportation drivers continue a nationwide strike across South Korea today, Tuesday, June 7. Up to 25,000 members of the Cargo Truckers Solidarity, under the Korean Confederation of Trade Unions, including other non-unionized cargo transportation drivers have been predicted to participate in the strike. The union is demanding an extension of the Safe Trucking Freight Rates System, a hike in freight fares, and other support measures. The expected duration of the strike has not been immediately reported.","Labor: Cargo Transportation Strike","Other","Closed","","","Country"
"INC-1318","Meteorological: Tornado","3/16/2023 7:08 PM","Forth Worth","United States","Tornado Warning
 
Category: ActivWeather
Severity: Extreme
Certainty: Observed

 
Source Location: NWS Fort Worth TX
Affected Counties: Dallas, TX
 
 
Assets may be Impacted
Locations in Affected Counties:
ATOS Regional DC - TX (Freeport/Hackberry, Dallas County, TX)
 
Description for target area(s):
 
Texas:
Dallas
 
The National Weather Service in Fort Worth has issued a
 
* Tornado Warning for...
Northwestern Dallas County in north central Texas...
 
* Until 530 PM CDT.
 
* At 456 PM CDT, a severe thunderstorm capable of producing a tornado
was located near Irving, moving northeast at 40 mph.
 
HAZARD...Tornado and half dollar size hail.
 
SOURCE...Radar indicated rotation.
 
IMPACT...Flying debris will be dangerous to those caught without
shelter. Mobile homes will be damaged or destroyed.
Damage to roofs, windows, and vehicles will occur. Tree
damage is likely.
 
* This dangerous storm will be near...
Dallas Love Field around 500 PM CDT.
Farmers Branch, University Park, Addison and Highland Park around
510 PM CDT.
Dallas and Richardson around 530 PM CDT.
 
Other locations impacted by this tornadic thunderstorm include White
Rock Lake.
 
This includes Interstate 35E between mile markers 429 and 438.
 
TAKE COVER NOW! Move to an interior room on the lowest floor of a
sturdy building. Avoid windows. If you are outdoors, in a mobile
home, or in a vehicle, move to the closest substantial shelter and
protect yourself from flying debris.
 
Bulletin Issued: 5:57 PM EDT on March 16
Event Ends: 6:30 PM EDT on March 16","Meteorological: Tornado","Meteorological (Tornado, Hurricane, Floods)","Closed","","","Site"
"INC-1310","Work stoppage at multiple french ports","3/8/2023 12:47 PM","Nationwide","France","Media sources report that port workers affiliated with the CGT Port and Docks Federation are staging a work stoppage at multiple ports across France on Wednesday, March 8. The labor action has been called to reject pension reforms proposed by the government. Sources indicate the ports affected by the work stoppages include the Port of Nantes St Nazaire, Montoir, Lyon, Le Havre, Brest, Rouen, Dunkirk, Lille, Marseille, and Bayonne. Port activity at the affected locations has been completely halted as a result of the labor action. The workers will reportedly vote on Thursday, March 9, on whether to launch another strike next week. Expect associated disruptions to port operations at the affected locations through Thursday, March 9.","Labor: Port Strike","Other","Closed","","","Country"
